ID	runtime
0	B
DPCh_plate2_A03_S99	1
DPCh_plate2_A04_S100	1
DPCh_plate2_B03_S107	1
DPCh_plate2_B04_S108	1
DPCh_plate2_C03_S115	1
DPCh_plate2_C04_S116	1
DPCh_plate2_D03_S123	1
DPCh_plate2_D04_S124	1
DPCh_plate2_E03_S131	1
DPCh_plate2_E04_S132	1
DPCh_plate2_F03_S139	1
DPCh_plate2_F04_S140	1
DPCh_plate2_G03_S147	1
DPCh_plate2_G04_S148	1
DPCh_plate2_H03_S155	1
DPCh_plate2_H04_S156	1
DPCh_plate2_A01_S97	0
DPCh_plate2_A02_S98	0
DPCh_plate2_B01_S105	0
DPCh_plate2_B02_S106	0
DPCh_plate2_C01_S113	0
DPCh_plate2_C02_S114	0
DPCh_plate2_D01_S121	0
DPCh_plate2_D02_S122	0
DPCh_plate2_E01_S129	0
DPCh_plate2_E02_S130	0
DPCh_plate2_F01_S137	0
DPCh_plate2_F02_S138	0
DPCh_plate2_G01_S145	0
DPCh_plate2_G02_S146	0
DPCh_plate2_H01_S153	0
DPCh_plate2_H02_S154	0
