NMFS_DNA_ID	STATE_F
T200326	Alaska
T200327	Alaska
T200328	Alaska
T200329	Alaska
T200330	Alaska
T200331	Alaska
T200332	Alaska
T200333	Alaska
T200334	Alaska
T200335	Alaska
T200336	Alaska
T200337	Alaska
T200338	Alaska
T200339	Alaska
T200340	Alaska
T200341	Alaska
T200342	Alaska
T200343	Alaska
T200344	Alaska
T200345	Alaska
T200346	Alaska
T200347	Alaska
T200348	Alaska
T200349	Alaska
T200350	Alaska
T200351	Alaska
T200352	Alaska
T200353	Alaska
T200354	Alaska
T200355	Alaska
T200356	Alaska
T200357	Alaska
T200358	Alaska
T200359	Alaska
T200360	Alaska
T200361	Alaska
T200362	Alaska
T200363	Alaska
T200364	Alaska
T200365	Alaska
T200366	Alaska
T200367	Alaska
T200368	Alaska
T200369	Alaska
T200370	Alaska
T200371	Alaska
T200372	Alaska
T200373	Alaska
T200374	Alaska
T200375	Alaska
T200376	Alaska
T200377	Alaska
T200378	Alaska
T200379	Alaska
T200380	Alaska
T200381	Alaska
T200382	Alaska
T200383	Alaska
T200384	Alaska
T200385	Alaska
T200386	Alaska
T200387	Alaska
T200388	Alaska
T200389	Alaska
T200390	Alaska
T200391	Alaska
T200392	Alaska
T200393	Alaska
T200394	Alaska
T200395	Alaska
T200396	Alaska
T200397	Alaska
T200398	Alaska
T200399	Alaska
T200400	Alaska
T200401	Alaska
T200402	Alaska
T200403	Alaska
T200404	Alaska
T200405	Alaska
T200406	Alaska
T200407	Alaska
T200408	Alaska
T200409	Alaska
T200410	Alaska
T200411	Alaska
T200412	Alaska
T200413	Alaska
T200414	Alaska
T200415	Alaska
T200416	Alaska
T200417	Alaska
T200418	Alaska
T200419	Alaska
T200420	Alaska
T200421	Alaska
T200422	Alaska
T200423	Alaska
T200424	Alaska
T200425	Alaska
T200426	Alaska
T169826	New Zealand
T169832	New Zealand
T169834	New Zealand
T169837	New Zealand
T169838	New Zealand
T169849	New Zealand
T169868	New Zealand
T169883	New Zealand
T169897	New Zealand
T169900	New Zealand
T169906	New Zealand
T169907	New Zealand
T169913	New Zealand
T148326	California
T148327	California
T206181	Argentina
T206182	Argentina
T206184	Argentina
T206192	Argentina
T206193	Argentina
T206203	Argentina
T169857	New Zealand
T169880	New Zealand
T169888	New Zealand
